[200~+-------------------------------+------------+---------------------+------------+-------------+----------------+--------+----------+-------------+-----------------+--------+----------------+--------+------------------+-------+
| Trial name                    | status     | loc                 | dataname   | diffusion   |   dropout_prob |   head | if_gat   | if_linear   |   learning_rate |   nhid |   weight_decay |   iter |   total time (s) |   acc |
| training_function_0ad41_00030 | TERMINATED | 172.16.3.10:3743671 | Cora       | sym         |            0.2 |     16 | True     | False       |           1e-06 |     64 |         1e-05  |      1 |         124.195  | 0.785 |
| training_function_0ad41_00031 | TERMINATED | 172.16.3.10:3744297 | Cora       | randomwalk  |            0.2 |     16 | True     | False       |           1e-06 |     64 |         1e-05  |      1 |         143.296  | 0.769 |
| training_function_0ad41_00032 | TERMINATED | 172.16.3.10:3752060 | Cora       | sym         |            0.1 |     16 | True     | False       |           1e-06 |     64 |         1e-05  |      1 |         124.136  | 0.779 |
| training_function_0ad41_00033 | TERMINATED | 172.16.3.10:3754953 | Cora       | randomwalk  |            0.1 |     16 | True     | False       |           1e-06 |     64 |         1e-05  |      1 |         141.855  | 0.774 |
| training_function_0ad41_00034 | TERMINATED | 172.16.3.10:3760588 | Cora       | sym         |            0.5 |     16 | True     | False       |           1e-06 |     64 |         1e-05  |      1 |         125.606  | 0.751 |
| training_function_0ad41_00035 | TERMINATED | 172.16.3.10:3763584 | Cora       | randomwalk  |            0.5 |     16 | True     | False       |           1e-06 |     64 |         1e-05  |      1 |         153.086  | 0.778 |
| training_function_0ad41_00036 | TERMINATED | 172.16.3.10:3770486 | Cora       | sym         |            0.2 |      8 | True     | False       |           5e-05 |    128 |         1e-05  |      1 |          77.7944 | 0.793 |
| training_function_0ad41_00037 | TERMINATED | 172.16.3.10:3775296 | Cora       | randomwalk  |            0.2 |      8 | True     | False       |           5e-05 |    128 |         1e-05  |      1 |          90.9231 | 0.79  |
| training_function_0ad41_00038 | TERMINATED | 172.16.3.10:3775360 | Cora       | sym         |            0.1 |      8 | True     | False       |           5e-05 |    128 |         1e-05  |      1 |          82.0519 | 0.787 |
| training_function_0ad41_00039 | TERMINATED | 172.16.3.10:3783744 | Cora       | randomwalk  |            0.1 |      8 | True     | False       |           5e-05 |    128 |         1e-05  |      1 |          82.1322 | 0.794 |
| training_function_0ad41_00040 | TERMINATED | 172.16.3.10:3784296 | Cora       | sym         |            0.5 |      8 | True     | False       |           5e-05 |    128 |         1e-05  |      1 |          85.6065 | 0.788 |
| training_function_0ad41_00041 | TERMINATED | 172.16.3.10:3789680 | Cora       | randomwalk  |            0.5 |      8 | True     | False       |           5e-05 |    128 |         1e-05  |      1 |          82.7203 | 0.79  |
| training_function_0ad41_00042 | TERMINATED | 172.16.3.10:3790789 | Cora       | sym         |            0.2 |     16 | True     | False       |           5e-05 |    128 |         1e-05  |      1 |         155.587  | 0.787 |
| training_function_0ad41_00043 | TERMINATED | 172.16.3.10:3796970 | Cora       | randomwalk  |            0.2 |     16 | True     | False       |           5e-05 |    128 |         1e-05  |      1 |         125.066  | 0.78  |
| training_function_0ad41_00044 | TERMINATED | 172.16.3.10:3801681 | Cora       | sym         |            0.1 |     16 | True     | False       |           5e-05 |    128 |         1e-05  |      1 |         151.772  | 0.79  |
| training_function_0ad41_00045 | TERMINATED | 172.16.3.10:3806948 | Cora       | randomwalk  |            0.1 |     16 | True     | False       |           5e-05 |    128 |         1e-05  |      1 |         126.398  | 0.783 |
| training_function_0ad41_00046 | TERMINATED | 172.16.3.10:3812907 | Cora       | sym         |            0.5 |     16 | True     | False       |           5e-05 |    128 |         1e-05  |      1 |         130.915  | 0.795 |
