Number of trials: 72/72 (72 TERMINATED)
+-------------------------------+------------+---------------------+------------+----------------+--------+----------+-----------------+--------+----------------+--------+------------------+--------+
| Trial name                    | status     | loc                 | dataname   |   dropout_prob |   head | if_mlp   |   learning_rate |   nhid |   weight_decay |   iter |   total time (s) |    acc |
| training_function_09793_00034 | TERMINATED | 172.16.3.10:2473176 | Cora       |            0.5 |      4 | True     |          0.0001 |     32 |         0.001  |      1 |          68.2612 | 0.6426 |
| training_function_09793_00035 | TERMINATED | 172.16.3.10:2473210 | Cora       |            0.1 |      4 | True     |          0.0001 |     32 |         0.001  |      1 |          68.5062 | 0.6746 |
| training_function_09793_00036 | TERMINATED | 172.16.3.10:2473557 | Cora       |            0.5 |      2 | True     |          0.01   |     64 |         0.001  |      1 |          68.197  | 0.7666 |
| training_function_09793_00037 | TERMINATED | 172.16.3.10:2473581 | Cora       |            0.1 |      2 | True     |          0.01   |     64 |         0.001  |      1 |          67.8139 | 0.7596 |
| training_function_09793_00038 | TERMINATED | 172.16.3.10:2473626 | Cora       |            0.5 |      4 | True     |          0.01   |     64 |         0.001  |      1 |          68.2781 | 0.7728 |
| training_function_09793_00039 | TERMINATED | 172.16.3.10:2473671 | Cora       |            0.1 |      4 | True     |          0.01   |     64 |         0.001  |      1 |          68.8344 | 0.7676 |
| training_function_09793_00040 | TERMINATED | 172.16.3.10:2474012 | Cora       |            0.5 |      2 | True     |          0.001  |     64 |         0.001  |      1 |          68.869  | 0.7792 |
| training_function_09793_00041 | TERMINATED | 172.16.3.10:2474014 | Cora       |            0.1 |      2 | True     |          0.001  |     64 |         0.001  |      1 |          68.5441 | 0.7548 |
| training_function_09793_00042 | TERMINATED | 172.16.3.10:2474093 | Cora       |            0.5 |      4 | True     |          0.001  |     64 |         0.001  |      1 |          68.413  | 0.7788 |
| training_function_09793_00043 | TERMINATED | 172.16.3.10:2474128 | Cora       |            0.1 |      4 | True     |          0.001  |     64 |         0.001  |      1 |          68.8945 | 0.7602 |
| training_function_09793_00044 | TERMINATED | 172.16.3.10:2477596 | Cora       |            0.5 |      2 | True     |          0.0001 |     64 |         0.001  |      1 |          68.5316 | 0.6866 |
| training_function_09793_00045 | TERMINATED | 172.16.3.10:2477613 | Cora       |            0.1 |      2 | True     |          0.0001 |     64 |         0.001  |      1 |          68.5007 | 0.6954 |
| training_function_09793_00046 | TERMINATED | 172.16.3.10:2477674 | Cora       |            0.5 |      4 | True     |          0.0001 |     64 |         0.001  |      1 |          68.9425 | 0.7244 |
| training_function_09793_00047 | TERMINATED | 172.16.3.10:2477712 | Cora       |            0.1 |      4 | True     |          0.0001 |     64 |         0.001  |      1 |          68.679  | 0.7336 |
| training_function_09793_00048 | TERMINATED | 172.16.3.10:2478059 | Cora       |            0.5 |      2 | True     |          0.01   |     32 |         0.0001 |      1 |          67.8288 | 0.7734 |
| training_function_09793_00049 | TERMINATED | 172.16.3.10:2478061 | Cora       |            0.1 |      2 | True     |          0.01   |     32 |         0.0001 |      1 |          68.1463 | 0.7582 |
| training_function_09793_00050 | TERMINATED | 172.16.3.10:2478129 | Cora       |            0.5 |      4 | True     |          0.01   |     32 |         0.0001 |      1 |          68.1795 | 0.755  |
| training_function_09793_00051 | TERMINATED | 172.16.3.10:2478178 | Cora       |            0.1 |      4 | True     |          0.01   |     32 |         0.0001 |      1 |          68.5625 | 0.7692 |
| training_function_09793_00052 | TERMINATED | 172.16.3.10:2478622 | Cora       |            0.5 |      2 | True     |          0.001  |     32 |         0.0001 |      1 |          68.9982 | 0.771  |
| training_function_09793_00053 | TERMINATED | 172.16.3.10:2478625 | Cora       |            0.1 |      2 | True     |          0.001  |     32 |         0.0001 |      1 |          68.0758 | 0.7546 |
| training_function_09793_00054 | TERMINATED | 172.16.3.10:2478675 | Cora       |            0.5 |      4 | True     |          0.001  |     32 |         0.0001 |      1 |          68.4531 | 0.7654 |
| training_function_09793_00055 | TERMINATED | 172.16.3.10:2478720 | Cora       |            0.1 |      4 | True     |          0.001  |     32 |         0.0001 |      1 |          68.1387 | 0.7478 |
| training_function_09793_00056 | TERMINATED | 172.16.3.10:2479258 | Cora       |            0.5 |      2 | True     |          0.0001 |     32 |         0.0001 |      1 |          67.9592 | 0.686  |
| training_function_09793_00057 | TERMINATED | 172.16.3.10:2479295 | Cora       |            0.1 |      2 | True     |          0.0001 |     32 |         0.0001 |      1 |          68.3506 | 0.699  |
| training_function_09793_00058 | TERMINATED | 172.16.3.10:2479297 | Cora       |            0.5 |      4 | True     |          0.0001 |     32 |         0.0001 |      1 |          67.6748 | 0.6448 |
| training_function_09793_00059 | TERMINATED | 172.16.3.10:2479372 | Cora       |            0.1 |      4 | True     |          0.0001 |     32 |         0.0001 |      1 |          68.5796 | 0.6742 |
| training_function_09793_00060 | TERMINATED | 172.16.3.10:2480108 | Cora       |            0.5 |      2 | True     |          0.01   |     64 |         0.0001 |      1 |          68.0997 | 0.7482 |
| training_function_09793_00061 | TERMINATED | 172.16.3.10:2480207 | Cora       |            0.1 |      2 | True     |          0.01   |     64 |         0.0001 |      1 |          68.9048 | 0.7582 |
| training_function_09793_00062 | TERMINATED | 172.16.3.10:2480209 | Cora       |            0.5 |      4 | True     |          0.01   |     64 |         0.0001 |      1 |          68.7273 | 0.7388 |
| training_function_09793_00063 | TERMINATED | 172.16.3.10:2480281 | Cora       |            0.1 |      4 | True     |          0.01   |     64 |         0.0001 |      1 |          68.9176 | 0.7704 |
| training_function_09793_00064 | TERMINATED | 172.16.3.10:2480832 | Cora       |            0.5 |      2 | True     |          0.001  |     64 |         0.0001 |      1 |          69.1417 | 0.7738 |
| training_function_09793_00065 | TERMINATED | 172.16.3.10:2480913 | Cora       |            0.1 |      2 | True     |          0.001  |     64 |         0.0001 |      1 |          69.4304 | 0.7544 |
| training_function_09793_00066 | TERMINATED | 172.16.3.10:2480915 | Cora       |            0.5 |      4 | True     |          0.001  |     64 |         0.0001 |      1 |          69.5484 | 0.7778 |
| training_function_09793_00067 | TERMINATED | 172.16.3.10:2481208 | Cora       |            0.1 |      4 | True     |          0.001  |     64 |         0.0001 |      1 |          69.3334 | 0.7548 |
| training_function_09793_00068 | TERMINATED | 172.16.3.10:2481840 | Cora       |            0.5 |      2 | True     |          0.0001 |     64 |         0.0001 |      1 |          68.4115 | 0.687  |
| training_function_09793_00069 | TERMINATED | 172.16.3.10:2481890 | Cora       |            0.1 |      2 | True     |          0.0001 |     64 |         0.0001 |      1 |          68.7011 | 0.6972 |
| training_function_09793_00070 | TERMINATED | 172.16.3.10:2481893 | Cora       |            0.5 |      4 | True     |          0.0001 |     64 |         0.0001 |      1 |          68.6577 | 0.7274 |
| training_function_09793_00071 | TERMINATED | 172.16.3.10:2481955 | Cora       |            0.1 |      4 | True     |          0.0001 |     64 |         0.0001 |      1 |          68.7619 | 0.7332 |
+-------------------------------+------------+---------------------+------------+----------------+--------+----------+-----------------+--------+----------------+--------+------------------+--------+

